school,sex,age,address,attendence,marks,Fedu,Mjob,Fjob,guardian,failures,schoolsup,paid,activities,nursery,higher,goout
MS,M,18,U,T,4,3,at_home,services,mother,1,no,no,no,yes,no,3
MS,M,19,R,T,4,1,other,other,other,1,no,no,no,yes,yes,4
MS,M,17,R,T,4,3,services,other,mother,0,no,yes,yes,no,yes,5
MS,F,18,U,T,4,3,services,services,father,0,no,no,no,yes,yes,4
MS,F,17,R,T,4,4,teacher,services,father,0,no,yes,yes,yes,yes,3
MS,F,17,U,A,4,2,services,other,mother,0,no,no,no,yes,yes,3
MS,M,18,U,T,4,1,other,services,father,0,no,no,no,no,yes,2
MS,F,18,U,T,4,1,at_home,services,father,0,no,no,no,yes,yes,2
MS,F,18,R,A,4,4,at_home,other,mother,0,no,no,no,yes,yes,4
MS,M,18,R,T,4,1,at_home,other,mother,1,no,no,yes,no,no,3
MS,F,18,U,T,4,3,services,services,mother,0,no,no,no,yes,yes,2
MS,F,17,U,T,4,4,at_home,at_home,mother,0,no,yes,yes,yes,yes,4
MS,F,17,R,T,4,2,other,services,father,0,no,no,no,no,yes,2
MS,M,18,R,T,4,3,at_home,other,mother,0,no,yes,no,yes,yes,4
MS,M,18,U,T,4,4,teacher,services,mother,0,no,yes,no,yes,yes,2
MS,F,17,R,T,4,1,other,services,mother,1,no,yes,no,yes,yes,1
MS,F,18,U,T,4,3,at_home,services,father,0,no,yes,no,yes,yes,3
MS,F,18,R,T,4,4,other,teacher,father,0,no,yes,no,no,yes,2
MS,F,19,U,T,4,2,services,services,other,2,no,no,yes,yes,yes,2
MS,M,18,R,T,4,2,at_home,services,father,0,no,yes,yes,yes,no,3
MS,F,17,U,T,4,2,other,at_home,mother,0,no,no,yes,yes,yes,3
MS,F,17,R,T,4,2,other,other,mother,0,no,no,yes,yes,yes,5
MS,F,18,R,T,4,4,other,other,mother,0,no,no,no,yes,yes,4
MS,F,18,R,T,4,1,other,other,mother,0,no,no,no,yes,yes,2
MS,F,20,U,T,4,2,health,other,other,2,no,yes,no,no,yes,3
MS,F,18,R,T,4,4,teacher,services,mother,0,no,yes,yes,yes,yes,3
MS,F,18,U,T,4,3,other,other,mother,0,no,yes,no,yes,yes,3
MS,F,17,R,T,4,1,at_home,other,mother,0,no,yes,yes,no,yes,4
MS,M,18,U,T,4,4,teacher,teacher,father,0,no,yes,yes,no,yes,4
MS,M,18,R,T,4,1,other,other,mother,0,no,no,yes,no,yes,3
MS,M,17,U,T,4,3,other,services,father,0,no,no,yes,yes,yes,3
MS,M,19,R,T,4,1,other,services,mother,1,no,no,no,yes,yes,2
MS,M,18,R,T,4,2,other,other,father,1,no,yes,no,yes,yes,3
MS,F,18,R,T,4,2,at_home,other,mother,0,no,yes,no,yes,yes,3
MS,F,18,R,T,4,4,teacher,at_home,mother,0,no,yes,yes,yes,yes,3
MS,F,19,R,T,4,3,services,other,mother,1,no,no,yes,no,yes,2
MS,F,18,U,T,4,1,teacher,services,mother,0,no,yes,no,yes,yes,4
MS,F,18,U,T,4,1,other,other,mother,1,no,no,yes,yes,yes,1
MS,M,20,U,A,4,2,services,services,other,2,no,yes,no,yes,yes,4
MS,M,17,U,T,4,1,services,services,mother,0,no,no,no,no,yes,5
MS,M,21,R,T,4,1,other,other,other,3,no,no,no,no,yes,3
MS,M,18,R,T,4,2,services,other,mother,0,no,no,no,no,yes,1
MS,M,19,U,T,4,1,other,at_home,father,0,no,no,no,yes,yes,3
